Name,Function,Description
'nullifzero,'nullifzero(expr)',"Returns expr if it is not zero, or NULL otherwise."
'zeroifnull,'zeroifnull(expr)',"Returns expr if it is not NULL, or 0 otherwise."
abs,abs(expr),Returns the absolute value of the numeric value in expr.
acos,acos(expr),Returns the inverse cosine (arccosine) of expr.
acosh,acosh(expr),Returns the inverse hyperbolic cosine of expr.
add_months,"add_months(startDate,numMonths)",Returns the date that is numMonths after startDate.
aes_decrypt,"aes_decrypt(expr, key[, mode[, padding[, aad]]])",Decrypts a binary expr using AES encryption.
aes_encrypt,"aes_encrypt(expr, key[, mode[, padding[, iv[, aad]]]])",Encrypts a binary expr using AES encryption.
aggregate,"aggregate(expr,start,merge[,finish])",Aggregates elements in an array using a custom aggregator.
ai_analyze_sentiment,ai_analyze_sentiment(content),Returns the sentiment of a text.
ai_classify,"ai_classify(content, labels)",Classifies the provided content into one of the provided labels.
ai_extract,"ai_extract(content, labels)",Extracts entities specified by labels from a given text.
ai_fix_grammar,ai_fix_grammar(content),Corrects grammatical errors in a given text.
ai_forecast,"ai_forecast(observed, time_col)",Extropolates time series data into the future.
ai_gen,ai_gen(content),Invokes a state-of-the-art generative AI model from Databricks Foundation Model APIs to answer the user-provided prompt.
ai_generate_text,"ai_generate_text(prompt, modelName[, param1, value1] […])",Deprecated: Returns text generated by a selected large language model (LLM) given the prompt.
ai_mask,"ai_mask(content, labels)",Masks specified entities within a given text.
ai_query,"ai_query(endpointName, request, returnType)",Invokes an existing Mosaic AI Model Serving endpoint and parses and returns its response.
ai_similarity,"ai_similarity(strExpr1, strExpr2)",Compares two strings and computes the semantic similarity score.
ai_summarize,"ai_summarize(content[, max_words])",Generates a summary of a given text.
ai_translate,"ai_translate(content, to_lang)",Translates text to a specified target language.
any,any(expr),Returns true if at least one value of expr in the group is true.
any_value,"any_value(expr[,ignoreNull])",Returns some value of expr for a group of rows.
approx_count_distinct,"approx_count_distinct(expr[,relativeSD])",Returns the estimated number of distinct values in expr within the group.
approx_percentile,"approx_percentile(expr,percentage[,accuracy])",Returns the approximate percentile of the expr within the group.
approx_top_k,"approx_top_k(expr[,k[,maxItemsTracked]])",Returns the top k most frequently occurring item values in an expr along with their approximate counts.
array,"array([expr [, …]])",Returns an array with the elements in expr.
array_agg,array_agg(expr),Returns an array consisting of all values in expr within the group.
array_append,"array_append(array, elem)",Returns array appended by elem.
